نام کالا,نماد,تالار,تولید کننده,نوع قرارداد,قیمت پایانی میانگین موزون,ارزش معامله (هزارریال),قیمت پایانی,پایین ترین,بالاترین,قیمت پایه عرضه,حجم عرضه,تقاضا,حجم قرارداد,واحد,تاریخ معامله,تاریخ تحویل,مکان تحویل,عرضه کننده,تاریخ قیمت تسویه,کارگزار,نحوه عرضه,روش خرید,نوع بسته بندی,نوع تسویه,نوع ارز,کد عرضه
سیمان پرتلند نوع 5 رده 42/5-کیسه50,KCC-PCT5G42.5-L50-00,تالار سیمان,سیمان کردستان,نقدی,"14,481","2,751,390","14,481","14,481","14,481","14,481",200,190,190,تن,1403/08/21,1403/08/26,انبار کارخانه,سیمان کردستان,,آرمون بورس,عمده,عادی,کیسه,نقدی / اعتباری,ریال,888083
سیمان پرتلند نوع 1 رده 32/5-فله,ECC-PCT1G32.5-B-00,تالار سیمان,سیمان شرق,نقدی,"10,247","102,468,700","10,247","10,169","10,459","7,894","10,000","16,140","10,000",تن,1403/08/21,1403/08/26,انبار کارخانه,سیمان شرق,,آرمون بورس,عمده,عادی,فله,نقدی,ریال,888089
سیمان پرتلند نوع 1 رده 32/5-کیسه50,ECC-PCT1G32.5-L50-00,تالار سیمان,سیمان شرق,نقدی,"12,093","157,210,700","12,093","11,789","12,409","10,355","13,000","17,140","13,000",تن,1403/08/21,1403/08/26,انبار کارخانه,سیمان شرق,,آرمون بورس,عمده,عادی,کیسه,نقدی,ریال,888092
شمش بلوم (150*150)5SP,ASSH-BSG194X-00,تالار صنعتی,گسترش خدمات آتیه اندیشان سپهر شرق,سلف,,0,,,,"237,399",550,0,0,تن,1403/08/21,1403/09/20,انبار کارخانه,گسترش خدمات آتیه اندیشان سپهر شرق,,بانک سامان,عمده,عادی,شمش,نقدی,ریال,888095
شمش بلوم (150*150)5SP,BISC-BSG194X-00,تالار صنعتی,فولاد بوتیای ایرانیان,نقدی,"237,847","475,693,825","237,847","237,300","238,233","237,000","2,000","8,325","2,000",تن,1403/08/21,1403/08/29,انبار کارخانه,فولاد بوتیای ایرانیان,,آفتاب درخشان خاورمیانه,عمده,عادی,شمش,نقدی,ریال,888115
شمش بلوم (150*150)3SP,BISC-BSG324X-00,تالار صنعتی,فولاد بوتیای ایرانیان,نقدی,"240,601","481,201,200","240,601","239,819","240,908","237,000","2,000","3,750","2,000",تن,1403/08/21,1403/08/29,انبار کارخانه,فولاد بوتیای ایرانیان,,آفتاب درخشان خاورمیانه,عمده,عادی,شمش,نقدی,ریال,888117
شمش بلوم (130*130)3SP,BISC-BSO323X-00,تالار صنعتی,فولاد بوتیای ایرانیان,نقدی,"237,240","474,479,800","237,240","237,010","237,300","237,000","2,000","3,400","2,000",تن,1403/08/21,1403/08/27,انبار کارخانه,فولاد بوتیای ایرانیان,,آفتاب درخشان خاورمیانه,عمده,عادی,شمش,نقدی,ریال,888126
شمش بلوم (130*130)5SP,BISC-BSO003X-00,تالار صنعتی,فولاد بوتیای ایرانیان,نقدی,"237,178","474,355,300","237,178","237,022","238,466","237,000","2,000","2,600","2,000",تن,1403/08/21,1403/08/27,انبار کارخانه,فولاد بوتیای ایرانیان,,آفتاب درخشان خاورمیانه,عمده,عادی,شمش,نقدی,ریال,888131
سیمان پرتلند نوع 5 رده 42/5-فله,ECC-PCT5G42.5-B-00,تالار سیمان,سیمان شرق,نقدی,"10,047","5,023,600","10,047","9,989","10,141","8,987",500,700,500,تن,1403/08/21,1403/08/26,انبار کارخانه,سیمان شرق,,آرمون بورس,عمده,عادی,فله,نقدی,ریال,888132
سیمان پرتلند نوع 1 رده 42/5-کیسه50,NEYC-PCT1G42.5-L50-00,تالار سیمان,سیمان نیزار قم,نقدی,"15,594","5,769,780","15,594","15,594","15,594","15,594",400,370,370,تن,1403/08/21,1403/08/26,انبار کارخانه,سیمان نیزار قم,,آگاه,عمده,عادی,کیسه,نقدی,ریال,888138
سیمان پرتلند نوع 5 رده 42/5-کیسه50,ECC-PCT5G42.5-L50-00,تالار سیمان,سیمان شرق,نقدی,"11,840","23,679,400","11,840","11,769","11,939","11,158","2,000","3,010","2,000",تن,1403/08/21,1403/08/26,انبار کارخانه,سیمان شرق,,آرمون بورس,عمده,عادی,کیسه,نقدی,ریال,888140
سیمان پرتلند نوع 1 رده 42/5-فله,AAK-PCT1G42.5-B-00,تالار سیمان,سیمان آذر آبادگان خوی,نقدی,"19,633","29,449,650","19,633","19,399","19,888","13,865","1,500","3,380","1,500",تن,1403/08/21,1403/08/26,انبار کارخانه,کارخانه سیمان آذر آبادگان خوی,,آگاه,عمده,عادی,فله,نقدی,ریال,888143
سیمان پرتلند نوع 1 رده 42/5-کیسه50,AAK-PCT1G42.5-L50-00,تالار سیمان,سیمان آذر آبادگان خوی,نقدی,"18,708","93,541,400","18,708","18,659","18,845","16,444","5,000","10,160","5,000",تن,1403/08/21,1403/08/26,انبار کارخانه,کارخانه سیمان آذر آبادگان خوی,,آگاه,عمده,عادی,کیسه,نقدی,ریال,888145
شمش بلوم (150*150)5SP,KHST-BSG194X-00,تالار صنعتی,مجتمع ذوب آهن فولاد خزر,سلف,"244,526","733,576,680","244,526","242,899","245,245","227,997","3,000","7,540","3,000",تن,1403/08/21,1403/09/10,انبار کارخانه,ارجان پی توسعه,,توسعه سرمایه دنیا,عمده,عادی,شمش,نقدی / اعتباری,ریال,888146
سیمان پرتلند نوع 1 رده 42/5-جامبوبگ,AAK-PCT1G42.5-J-00,تالار سیمان,سیمان آذر آبادگان خوی,نقدی (مچینگ),"18,344","25,589,880","18,344","18,344","18,344","18,344",0,"1,395","1,395",تن,1403/08/21,1403/08/26,انبار کارخانه,کارخانه سیمان آذر آبادگان خوی,,آگاه,عمده,عادی,جامبوبگ,نقدی,ریال,888148
سیمان پرتلند نوع 1 رده 42/5-جامبوبگ,AAK-PCT1G42.5-J-00,تالار سیمان,سیمان آذر آبادگان خوی,نقدی,"18,344","38,797,560","18,344","18,344","18,344","18,344","3,510","2,820","2,115",تن,1403/08/21,1403/08/26,انبار کارخانه,کارخانه سیمان آذر آبادگان خوی,,آگاه,عمده,عادی,جامبوبگ,نقدی,ریال,888148
نخ پلی استر 96F560DTA,PAI-POY96F560DTAWP-00,تالار پتروشیمی,پلی اکریل ایران,نسیه,,0,,,,"681,818",40,0,0,تن,1403/08/21,1403/08/26,انبار کارخانه,پلی اکریل ایران,2025/02/09,بانک ملت,عمده,عادی,پالت چوبی,نقدی / اعتباری,ریال,888151
نخ پلی استر 48F280DTA,PAI-POY48F280DTAWP-00,تالار پتروشیمی,پلی اکریل ایران,نسیه,,0,,,,"673,300",38,0,0,تن,1403/08/21,1403/08/26,انبار کارخانه,پلی اکریل ایران,2025/02/09,بانک ملت,عمده,عادی,پالت چوبی,نقدی / اعتباری,ریال,888163
سیمان پرتلند نوع 1 رده 32/5-کیسه25,SECO-PCT1G32.5-L25-00,تالار سیمان,سیمان سپاهان,نقدی,"13,093","51,061,350","13,093","13,084","13,144","13,075","3,900","4,550","3,900",تن,1403/08/21,1403/08/26,انبار کارخانه,سیمان سپاهان,,آرمون بورس,عمده,عادی,کیسه,نقدی,ریال,888169
شمش بلوم (150*150)5SP,SJS-BSG194X-00,تالار صنعتی,جهان فولاد سیرجان,نقدی,"241,678","1,208,392,460","241,678","241,299","241,839","237,000","5,000","13,100","5,000",تن,1403/08/21,1403/08/26,انبار کارخانه,جهان فولاد سیرجان,,ارگ هومن,عمده,عادی,شمش,نقدی,ریال,888170
شمش بلوم (150*150)3SP,KFA-BSG324X-00,تالار صنعتی,کاوه فولاد آریا,سلف,,0,,,,"233,430",100,0,0,تن,1403/08/21,1403/09/18,انبار کارخانه,کاوه فولاد آریا,,آگاه,عمده,عادی,شمش,نقدی,ریال,888177
سیمان پرتلند نوع 1 رده 42/5-کیسه50,KHAC-PCT1G42.5-L50-00,تالار سیمان,سیمان خمسه,نقدی (مچینگ),"15,738","472,140","15,738","15,738","15,738","15,738",0,30,30,تن,1403/08/21,1403/08/26,انبار کارخانه,سیمان خمسه,,فارابی,عمده,عادی,کیسه,نقدی,ریال,888180
سیمان پرتلند نوع 1 رده 42/5-کیسه50,KHAC-PCT1G42.5-L50-00,تالار سیمان,سیمان خمسه,نقدی,"15,738","1,101,660","15,738","15,738","15,738","15,738",100,70,70,تن,1403/08/21,1403/08/26,انبار کارخانه,سیمان خمسه,,فارابی,عمده,عادی,کیسه,نقدی,ریال,888180
شمش بلوم (150*150)5SP,SJS-BSG194X-00,تالار صنعتی,جهان فولاد سیرجان,سلف,"236,000","472,000,300","236,000","236,000","236,001","236,000","2,000","3,900","2,000",تن,1403/08/21,1403/09/19,انبار کارخانه,جهان فولاد سیرجان,,ارگ هومن,عمده,عادی,شمش,نقدی / اعتباری,ریال,888184
سیمان پرتلند نوع 1 رده 32/5-کیسه50,SECO-PCT1G32.5-L50-00,تالار سیمان,سیمان سپاهان,نقدی,"12,606","102,110,100","12,606","12,361","12,900","12,275","8,100","13,400","8,100",تن,1403/08/21,1403/08/26,انبار کارخانه,سیمان سپاهان,,آرمون بورس,عمده,عادی,کیسه,نقدی,ریال,888186
شمش بلوم (150*150)5SP,AISC-BSG194X-00,تالار صنعتی,آهن و فولاد ارفع,سلف,"251,736","1,258,681,720","251,736","251,009","252,980","237,381","5,000","12,860","5,000",تن,1403/08/21,1403/09/15,انبار کارخانه,آهن و فولاد ارفع,,سی ولکس,عمده,عادی,شمش,نقدی / اعتباری,ریال,888187
شمش بلوم (150*150)5SP,wasc-BSG194X-00,تالار صنعتی,ذوب آهن البرز غرب,نقدی,"240,319","120,159,500","240,319","240,238","240,400","232,344",500,"1,750",500,تن,1403/08/21,1403/08/29,انبار کارخانه,ذوب آهن البرز غرب,,آگاه,عمده,عادی,شمش,نقدی,ریال,888191
شمش بلوم (150*150)5SP,wasc-BSG194X-00,تالار صنعتی,ذوب آهن البرز غرب,سلف,"232,344","69,703,200","232,344","232,344","232,344","232,344",600,600,300,تن,1403/08/21,1403/09/19,انبار کارخانه,ذوب آهن البرز غرب,,آگاه,عمده,عادی,شمش,نقدی,ریال,888196
شمش بلوم (150*150)5SP,wasc-BSG194X-00,تالار صنعتی,ذوب آهن البرز غرب,سلف (مچینگ),"232,344","69,703,200","232,344","232,344","232,344","232,344",0,300,300,تن,1403/08/21,1403/09/19,انبار کارخانه,ذوب آهن البرز غرب,,آگاه,عمده,عادی,شمش,نقدی,ریال,888196
سیمان پرتلند نوع 1 رده 42/5-فله,SECO-PCT1G42.5-B-00,تالار سیمان,سیمان سپاهان,نقدی,"12,949","77,691,050","12,949","12,637","13,669","12,596","6,000","10,950","6,000",تن,1403/08/21,1403/08/26,انبار کارخانه,سیمان سپاهان,,آرمون بورس,عمده,عادی,فله,نقدی,ریال,888203
شمش بلوم (150*150)5SP,AZAS-BSG194X-00,تالار صنعتی,مجتمع فولاد آذر آبادگان ارس,نقدی,"241,600","96,640,000","241,600","241,600","241,600","236,347",400,900,400,تن,1403/08/21,1403/08/27,انبار کارخانه,مجتمع فولاد آذر آبادگان ارس,,آگاه,عمده,عادی,شمش,نقدی,ریال,888215
شمش بلوم (150*150)5SP,BISC-BSG194X-622,تالار صنعتی,فولاد بوتیای ایرانیان,نقدی,"238,123","1,190,614,800","238,123","237,600","238,369","237,000","5,000","9,600","5,000",تن,1403/08/21,1403/08/26,بردسیر,فولاد بوتیای ایرانیان,,آفتاب درخشان خاورمیانه,عمده,عادی,شمش,نقدی,ریال,888226
پلی پروپیلن نساجی HP510L,JPPC-PPHP510LPP-00,تالار پتروشیمی,پلی پروپیلن جم (پتروشیمی جم پیلن),نقدی,"559,708","416,422,656","559,708","554,000","562,999","484,049",744,"1,320",744,تن,1403/08/21,1403/08/26,انبار کارخانه,پتروشیمی جم پیلن,,صبا جهاد,عمده,عادی,پالت پلاستیکی,نقدی,ریال,888227
پلی پروپیلن نساجی HP552R,JPPC-PPHP552RPP-00,تالار پتروشیمی,پلی پروپیلن جم (پتروشیمی جم پیلن),نقدی,"564,673","433,669,152","564,673","554,004","567,999","484,049",768,"1,128",768,تن,1403/08/21,1403/08/26,انبار کارخانه,پتروشیمی جم پیلن,,صبا جهاد,عمده,عادی,پالت پلاستیکی,نقدی,ریال,888230
پلی پروپیلن نساجی HP550J,JPPC-PPHP550JPP-00,تالار پتروشیمی,پلی پروپیلن جم (پتروشیمی جم پیلن),نقدی,"587,663","98,727,432","587,663","585,458","590,899","484,049",168,432,168,تن,1403/08/21,1403/08/26,انبار کارخانه,پتروشیمی جم پیلن,,صبا جهاد,عمده,عادی,پالت پلاستیکی,نقدی,ریال,888232
پلی پروپیلن شیمیایی EP440G,JPPC-PPEP440GPP-00,تالار پتروشیمی,پلی پروپیلن جم (پتروشیمی جم پیلن),نقدی,"619,163","108,972,644","619,163","604,369","627,999","496,731",176,330,176,تن,1403/08/21,1403/08/26,انبار کارخانه,پتروشیمی جم پیلن,,صبا جهاد,عمده,عادی,پالت پلاستیکی,نقدی,ریال,888235
سیمان پرتلند نوع 1 رده 42/5-فله,DACO-PCT1G42.5-B-00,تالار سیمان,سیمان دشتستان,نقدی,"13,256","2,651,200","13,256","13,199","13,288","12,537",200,350,200,تن,1403/08/21,1403/08/26,انبار کارخانه,صنایع سیمان دشتستان,,آرمون بورس,عمده,عادی,فله,نقدی,ریال,888237
پلی پروپیلن شیمیایی EP440L,JPPC-PPEP440LPP-00,تالار پتروشیمی,پلی پروپیلن جم (پتروشیمی جم پیلن),نقدی,"533,877","317,122,916","533,877","530,889","535,999","495,792",594,858,594,تن,1403/08/21,1403/08/26,انبار کارخانه,پتروشیمی جم پیلن,,صبا جهاد,عمده,عادی,پالت پلاستیکی,نقدی,ریال,888239
پلی پروپیلن شیمیایی EP548R,JPPC-PPEP548RPP-00,تالار پتروشیمی,پلی پروپیلن جم (پتروشیمی جم پیلن),نقدی,"557,056","330,891,506","557,056","552,123","560,000","495,792",594,"1,166",594,تن,1403/08/21,1403/08/26,انبار کارخانه,پتروشیمی جم پیلن,,صبا جهاد,عمده,عادی,پالت پلاستیکی,نقدی,ریال,888241
پلی پروپیلن شیمیایی EP548T,JPPC-PPEP548TPP-00,تالار پتروشیمی,پلی پروپیلن جم (پتروشیمی جم پیلن),نقدی,"550,121","96,821,340","550,121","546,666","551,999","495,792",176,352,176,تن,1403/08/21,1403/08/26,انبار کارخانه,پتروشیمی جم پیلن,,صبا جهاد,عمده,عادی,پالت پلاستیکی,نقدی,ریال,888243
پلی پروپیلن شیمیایی EP3130UV,JPPC-PPEP3130UVPP-00,تالار پتروشیمی,پلی پروپیلن جم (پتروشیمی جم پیلن),نقدی,"665,162","73,167,820","665,162","643,813","671,000","533,368",110,176,110,تن,1403/08/21,1403/08/26,انبار کارخانه,پتروشیمی جم پیلن,,صبا جهاد,عمده,عادی,پالت پلاستیکی,نقدی,ریال,888245
پلی پروپیلن شیمیایی RP340R,JPPC-PPRP340RP-00,تالار پتروشیمی,پلی پروپیلن جم (پتروشیمی جم پیلن),نقدی,"593,140","221,834,382","593,140","591,700","594,802","521,625",374,726,374,تن,1403/08/21,1403/08/26,انبار کارخانه,پتروشیمی جم پیلن,,صبا جهاد,عمده,عادی,پالت پلاستیکی,نقدی,ریال,888246
پلی پروپیلن شیمیایی RP345S,JPPC-PPRP345SPP-00,تالار پتروشیمی,پلی پروپیلن جم (پتروشیمی جم پیلن),نقدی,"590,782","155,966,470","590,782","586,702","595,999","521,625",264,462,264,تن,1403/08/21,1403/08/26,انبار کارخانه,پتروشیمی جم پیلن,,صبا جهاد,عمده,عادی,پالت پلاستیکی,نقدی,ریال,888249
سیمان پرتلند نوع 1 رده 32/5-فله,CASC-PCT1G32.5-B-00,تالار سیمان,سیمان کویر کاشان,نقدی,"9,269","15,756,610","9,269","8,931","9,319","8,881","1,700","2,300","1,700",تن,1403/08/21,1403/08/26,انبار کارخانه,سیمان کویر کاشان,,مفید,عمده,عادی,فله,نقدی,ریال,888250
شمش بلوم (150*150)3SP,BISC-BSG324X-622,تالار صنعتی,فولاد بوتیای ایرانیان,نقدی,"238,887","716,661,000","238,887","238,699","239,299","237,000","3,000","5,200","3,000",تن,1403/08/21,1403/08/26,بردسیر,فولاد بوتیای ایرانیان,,آفتاب درخشان خاورمیانه,عمده,عادی,شمش,نقدی,ریال,888252
سیمان پرتلند نوع 1 رده 32/5-کیسه50,CASC-PCT1G32.5-L50-00,تالار سیمان,سیمان کویر کاشان,نقدی,"12,337","46,878,840","12,337","12,120","12,399","11,985","3,800","4,560","3,800",تن,1403/08/21,1403/08/26,انبار کارخانه,سیمان کویر کاشان,,مفید,عمده,عادی,کیسه,نقدی,ریال,888253
سیمان پرتلند نوع 1 رده 42/5-جامبوبگ,DACO-PCT1G42.5-J-00,تالار سیمان,سیمان دشتستان,سلف,,0,,,,"11,968",500,0,0,تن,1403/08/21,1403/09/20,انبار کارخانه,صنایع سیمان دشتستان,,آرمون بورس,عمده,عادی,جامبوبگ,نقدی,ریال,888256
پلی وینیل کلراید S65,GPC-PVCS65PP-00,تالار پتروشیمی,پتروشیمی غدیر,نقدی,"419,152","378,074,686","419,152","417,669","420,999","379,926",902,"1,518",902,تن,1403/08/21,1403/08/26,انبار کارخانه,پتروشیمی غدیر,,صبا تأمین,عمده,عادی,پالت پلاستیکی,نقدی,ریال,888258
پلی وینیل کلراید S65,GPC-PVCS65J-00,تالار پتروشیمی,پتروشیمی غدیر,نقدی,"387,932","729,312,520","387,932","386,850","389,500","379,926","1,880","2,020","1,880",تن,1403/08/21,1403/08/26,انبار کارخانه,پتروشیمی غدیر,,صبا تأمین,عمده,عادی,جامبوبگ,نقدی,ریال,888260
شمش بلوم (150*150)5SP,PSC-BSG194X-00,تالار صنعتی,صنایع فولاد آلیاژی پاسارگاد (مجتمع صنعتی ذوب آهن پاسارگاد),سلف,"241,278","723,835,200","241,278","241,009","241,601","235,611","3,000","8,000","3,000",تن,1403/08/21,1403/09/20,انبار کارخانه,صنایع فولاد آلیاژی پاسارگاد,,توانا,عمده,عادی,شمش,نقدی,ریال,888264
شمش بلوم (150*150)3SP,PSC-BSG324X-00,تالار صنعتی,صنایع فولاد آلیاژی پاسارگاد (مجتمع صنعتی ذوب آهن پاسارگاد),سلف,"238,239","714,718,200","238,239","238,099","238,601","235,611","3,000","4,700","3,000",تن,1403/08/21,1403/09/20,انبار کارخانه,صنایع فولاد آلیاژی پاسارگاد,,توانا,عمده,عادی,شمش,نقدی,ریال,888269
سیمان تیپ 5 ضد سولفات ویژه,DACO-SASCEMENT5B-00,تالار سیمان,سیمان دشتستان,نقدی,"13,459","11,440,150","13,459","13,459","13,459","13,459","1,100",850,850,تن,1403/08/21,1403/08/26,انبار کارخانه,صنایع سیمان دشتستان,,آرمون بورس,عمده,عادی,فله,نقدی,ریال,888272
سیمان تیپ 5 ضد سولفات ویژه,DACO-SASCEMENT5B-00,تالار سیمان,سیمان دشتستان,نقدی (مچینگ),"13,459","3,364,750","13,459","13,459","13,459","13,459",0,250,250,تن,1403/08/21,1403/08/26,انبار کارخانه,صنایع سیمان دشتستان,,آرمون بورس,عمده,عادی,فله,نقدی,ریال,888272
شمش بلوم (150*150)5SP,TESD-BSG194X-00,تالار صنعتی,تولیدی صنعتی اصفهان در,سلف,"237,399","71,219,700","237,399","237,399","237,399","237,399",300,300,300,تن,1403/08/21,1403/09/05,انبار کارخانه,تولیدی صنعتی اصفهان در,,توانا,عمده,عادی,شمش,نقدی,ریال,888273
شمش بلوم( 3sp(125*125,PSA-BSG00OO-00,تالار صنعتی,پولاد شمش آریا,نقدی,"237,399","47,479,800","237,399","237,399","237,399","237,399",200,200,200,تن,1403/08/21,1403/08/29,انبار کارخانه,پولاد شمش آریا,,بانک کشاورزی,عمده,عادی,شمش,نقدی,ریال,888274
شمش بلوم (125*125)5SP,SSZ-BSG017OO-00,تالار صنعتی,صنایع صدرا ذوب,سلف,"237,399","53,414,775","237,399","237,399","237,399","237,399",425,225,225,تن,1403/08/21,1403/09/14,انبار کارخانه,صنایع صدرا ذوب,,توانا,عمده,عادی,شمش,نقدی,ریال,888275
سیمان پرتلند نوع 5 رده 32/5-فله,DACO-PCT5G32.5-B-00,تالار سیمان,سیمان دشتستان,نقدی,"13,175","2,634,975","13,175","13,088","13,239","11,216",200,450,200,تن,1403/08/21,1403/08/26,انبار کارخانه,صنایع سیمان دشتستان,,آرمون بورس,عمده,عادی,فله,نقدی,ریال,888276
شمش بلوم (150*150)5SP,ESC-BSG194X-00,تالار صنعتی,ذوب آهن اصفهان,سلف,"242,419","242,418,500","242,419","241,929","242,908","234,245","1,000","2,500","1,000",تن,1403/08/21,1403/09/20,انبار کارخانه,ذوب آهن اصفهان,,صبا تأمین,عمده,عادی,شمش,نقدی,ریال,888278
شمش بلوم طول کوتاه (150*150)3sp,PSC-BSG324O-00,تالار صنعتی,صنایع فولاد آلیاژی پاسارگاد (مجتمع صنعتی ذوب آهن پاسارگاد),نقدی,"235,611","23,561,100","235,611","235,611","235,611","235,611",100,100,100,تن,1403/08/21,1403/08/26,انبار کارخانه,صنایع فولاد آلیاژی پاسارگاد,,توانا,عمده,عادی,شمش,نقدی,ریال,888280
سیمان پرتلند نوع 5 رده 32/5-جامبوبگ,DACO-PCT5G32.5-J-00,تالار سیمان,سیمان دشتستان,سلف,,0,,,,"12,754",500,0,0,تن,1403/08/21,1403/09/20,انبار کارخانه,صنایع سیمان دشتستان,,آرمون بورس,عمده,عادی,جامبوبگ,نقدی,ریال,888288
شمش بلوم (150*150)5SP,PZB-BSG194X-00,تالار صنعتی,پردیس صنعت زنده رود,نقدی,"237,489","712,466,575","237,489","237,429","237,599","237,399","3,000","5,175","3,000",تن,1403/08/21,1403/08/26,انبار کارخانه,پردیس صنعت زنده رود,,بانک کشاورزی,عمده,عادی,شمش,نقدی,ریال,888323
سیمان پرتلند نوع 5 رده 32/5-فله,CMN-PCT5G32.5-B-00,تالار سیمان,سیمان منددشتی,نقدی,"13,055","19,582,400","13,055","13,029","13,099","8,742","1,500","3,025","1,500",تن,1403/08/21,1403/08/26,انبار کارخانه,سیمان مند دشتی,,آرمون بورس,عمده,عادی,فله,نقدی,ریال,888330
پلی پروپیلن نساجی HP550J,DAP-PPHP550JJ-00,تالار پتروشیمی,دی آریا پلیمر,نقدی,"559,197","195,718,790","559,197","556,000","563,619","484,049",350,650,350,تن,1403/08/21,1403/08/26,انبار کارخانه,دی آریا پلیمر,,سرمایه و دانش,عمده,عادی,جامبوبگ,نقدی / اعتباری,ریال,888355
پلی پروپیلن نساجی HP500M,DAP-PPHP500MJ-00,تالار پتروشیمی,دی آریا پلیمر,نقدی,"560,000","196,000,150","560,000","545,610","563,999","484,049",350,500,350,تن,1403/08/21,1403/08/26,انبار کارخانه,دی آریا پلیمر,,سرمایه و دانش,عمده,عادی,جامبوبگ,نقدی / اعتباری,ریال,888357
پلی پروپیلن نساجی V30S,DAP-PPV30SJ-00,تالار پتروشیمی,دی آریا پلیمر,نقدی,"515,722","128,930,390","515,722","511,800","518,699","484,049",250,320,250,تن,1403/08/21,1403/08/26,انبار کارخانه,دی آریا پلیمر,,سرمایه و دانش,عمده,عادی,جامبوبگ,نقدی,ریال,888361
ورق گرم HR,MSC-HS40009-00,تالار صنعتی,فولاد مبارکه اصفهان,سلف,"329,420","79,067,309,970","329,420","327,999","338,899","250,190","240,020","294,030","240,020",تن,1403/08/21,1403/10/30,انبار کارخانه,فولاد مبارکه اصفهان,,باهنر,عمده,عادی,سایر,نقدی / اعتباری,ریال,888366
شمش بلوم (150*150)3SP,SKS-BSG324X-00,تالار صنعتی,فولاد کاوه جنوب کیش,نقدی,"256,263","2,562,634,000","256,263","254,333","256,800","237,399","10,000","24,840","10,000",تن,1403/08/21,1403/08/26,انبار کارخانه,فولاد کاوه جنوب کیش,,بورس بهگزین,عمده,عادی,شمش,نقدی / اعتباری,ریال,888374
شمش بلوم (150*150)5SP,SKS-BSG194X-00,تالار صنعتی,فولاد کاوه جنوب کیش,نقدی,"255,341","2,553,405,500","255,341","254,809","256,999","237,399","10,000","23,140","10,000",تن,1403/08/21,1403/08/26,انبار کارخانه,فولاد کاوه جنوب کیش,,بورس بهگزین,عمده,عادی,شمش,نقدی / اعتباری,ریال,888376
روغن پایه SN150,AIOC-BOSN150B-00,تالار فرآورده های نفتی,نفت ایرانول آبادان,سلف,"340,427","44,255,510","340,427","340,427","340,427","340,427",520,156,130,تن,1403/08/21,1403/09/04,انبار کارخانه,نفت ایرانول,,صبا تأمین,عمده,عادی,فله,نقدی,ریال,888379
روغن پایه SN150,AIOC-BOSN150B-00,تالار فرآورده های نفتی,نفت ایرانول آبادان,سلف (مچینگ),"340,427","79,659,918","340,427","340,427","340,427","340,427",0,234,234,تن,1403/08/21,1403/09/04,انبار کارخانه,نفت ایرانول,,صبا تأمین,عمده,عادی,فله,نقدی,ریال,888379
روغن پایه SN600,TIOC-BOSN600B-00,تالار فرآورده های نفتی,نفت ایرانول تهران,سلف (مچینگ),"354,275","9,211,150","354,275","354,275","354,275","354,275",0,26,26,تن,1403/08/21,1403/09/04,انبار کارخانه,نفت ایرانول,,صبا تأمین,عمده,عادی,فله,نقدی,ریال,888381
روغن پایه SN600,TIOC-BOSN600B-00,تالار فرآورده های نفتی,نفت ایرانول تهران,سلف,"354,275","92,111,500","354,275","354,275","354,275","354,275",494,260,260,تن,1403/08/21,1403/09/04,انبار کارخانه,نفت ایرانول,,صبا تأمین,عمده,عادی,فله,نقدی,ریال,888381
روغن پایه برایت استاک,TIOC-BOBS150B-00,تالار فرآورده های نفتی,نفت ایرانول تهران,سلف,,0,,,,"747,000",78,0,0,تن,1403/08/21,1403/09/04,انبار کارخانه,نفت ایرانول,,صبا تأمین,عمده,عادی,فله,نقدی,ریال,888384
سیمان پرتلند نوع 1 رده 32/5-فله,ACC-PCT1G32.5-B-00,تالار سیمان,سیمان آبیک,نقدی,"13,269","6,687,816","13,269","13,209","13,689","8,667",504,"3,360",504,تن,1403/08/21,1403/08/26,انبار کارخانه,سیمان آبیک,,صبا تأمین,عمده,عادی,فله,نقدی,ریال,888389
سیمان پرتلند نوع 1 رده 42/5-فله,UCC-PCT1G42.5-B-00,تالار سیمان,سیمان ارومیه,نقدی,"20,298","202,983,800","20,298","19,777","20,599","13,834","10,000","16,050","10,000",تن,1403/08/21,1403/08/26,انبار کارخانه,سیمان ارومیه,,صبا تأمین,عمده,عادی,فله,نقدی,ریال,888391
شمش بلوم (130*130)5SP,KSO-BSO003X-00,تالار صنعتی,مجتمع فولاد خراسان,نقدی,"238,583","202,795,575","238,583","238,444","238,760","237,399",850,"2,000",850,تن,1403/08/21,1403/08/26,انبار کارخانه,مجتمع فولاد خراسان,,اعتبار تابان,عمده,عادی,شمش,نقدی,ریال,888393
سیمان پرتلند نوع 1 رده 42/5-کیسه50,UCC-PCT1G42.5-L50-00,تالار سیمان,سیمان ارومیه,نقدی,"17,685","185,693,590","17,685","17,599","18,169","16,342","10,500","15,340","10,500",تن,1403/08/21,1403/08/26,انبار کارخانه,سیمان ارومیه,,صبا تأمین,عمده,عادی,کیسه,نقدی,ریال,888395
سیمان پرتلند نوع 1 رده 42/5-جامبوبگ,UCC-PCT1G42.5-J-00,تالار سیمان,سیمان ارومیه,نقدی,,0,,,,"18,242",500,0,0,تن,1403/08/21,1403/08/26,انبار کارخانه,سیمان ارومیه,,صبا تأمین,عمده,عادی,جامبوبگ,نقدی,ریال,888397
شمش بلوم (150*150)5SP,KSO-BSG194X-00,تالار صنعتی,مجتمع فولاد خراسان,نقدی,"242,467","242,467,300","242,467","242,199","242,699","237,399","1,000","3,600","1,000",تن,1403/08/21,1403/08/26,انبار کارخانه,مجتمع فولاد خراسان,,اعتبار تابان,عمده,عادی,شمش,نقدی,ریال,888398
